Date 		| Time 		| Blue Shrooms 	| Blue Bets | Red Shrooms 	| Red Bets 	| My Shrooms    | My Team 	| Winner
2019-04-15 	| 05:38PM 	| 62139 		| 28 		| 30607 		| 17 		| 1357			| blue 		| blue
2019-04-15 	| 06:11PM 	| 34529 		| 16 		| 41636 		| 23 		| 5000 			| red 		| red
2019-04-15 	| 06:47PM 	| 27686 		| 20 		| 33294 		| 18 		| 565 			| red 		| red
2019-04-15 	| 07:25PM 	| 37865 		| 21 		| 21370 		| 16 		| 500			| blue 		| blue
2019-04-15 	| 08:01PM 	| 21550 		| 17 		| 62584 		| 28 		| 624 			| red 		| red
2019-04-15	| 08:23PM	| 22908 		| 19 		| 31022 		| 24 		| 1043			| blue 		| blue
2019-04-15 	| 09:41PM 	| 52226 		| 16 		| 50119 		| 28 		| 1500 			| red 		| red
2019-04-15 	| 10:16PM 	| 30272 		| 22 		| 41385 		| 15 		| 500			| blue 		| blue
2019-04-15 	| 11:00PM 	| 33604 		| 22 		| 24372 		| 16 		| 551 			| red 		| red
2019-04-15 	| 11:29PM 	| 20897 		| 19 		| 24704 		| 15 		| 500			| blue 		| blue
2019-04-16 	| 12:19AM 	| 13885 		| 12 		| 60399 		| 25 		| 694			| blue 		| blue
2019-04-16 	| 12:51AM 	| 50946 		| 21 		| 51887 		| 18 		| 1500			| blue 		| blue
2019-04-16 	| 01:25AM 	| 16799 		| 16 		| 15706 		| 20 		| 704			| blue 		| blue
2019-04-16 	| 01:50AM 	| 7766 			| 8 		| 73123 		| 26 		| 500 			| red 		| red
2019-04-16	| 02:31AM	| 54940  		| 27 		| 40938  		| 13 		| 1500          | red       | blue
2019-04-16	| 09:37AM	| 24903  		| 22 		| 42092  		| 30 		| 709     		| blue 		| red
2019-04-16	| 10:31AM	| 21738  		| 21 		| 30812  		| 29 		| 960     		| blue 		| blue
2019-04-16	| 11:02AM	| 35803  		| 15 		| 45103  		| 22 		| 1500     		| red 		| red
2019-04-16	| 11:28AM	| 26298  		| 18 		| 30181  		| 22 		| 876     		| red 		| red
2019-04-16	| 12:12PM	| 60988  		| 35 		| 19060  		| 18 		| 804     		| red 		| red
2019-04-16	| 12:42PM	| 34305  		| 22 		| 41663  		| 26 		| 1500     		| blue 		| blue
2019-04-16	| 01:23PM	| 30397  		| 22 		| 58748  		| 22 		| 1469     		| blue 		| red
2019-04-16	| 01:52PM	| 47936  		| 22 		| 50203  		| 21 		| 1500     		| red 		| blue
2019-04-16	| 02:30PM	| 179140  		| 31 		| 14610  		| 18 		| 50000     	| blue 		| blue
2019-04-16	| 02:57PM	| 91265  		| 29 		| 18460  		| 22 		| 2000     		| red 		| red
2019-04-16	| 03:36PM	| 14694  		| 17 		| 16568  		| 21 		| 699     		| blue 		| blue
2019-04-16	| 04:15PM	| 8795  		| 14 		| 59934  		| 21 		| 2000     		| blue 		| blue
2019-04-16	| 05:30PM	| 58162  		| 15 		| 53333  		| 22 		| 846     		| red 		| red
2019-04-16	| 06:00PM	| 241441  		| 31 		| 12082  		| 14 		| 700     		| red 		| blue
2019-04-16	| 06:30PM	| 52029  		| 25 		| 24615  		| 15 		| 700     		| red 		| blue
2019-04-16	| 07:17PM	| 14026  		| 13 		| 13133  		| 14 		| 700     		| red 		| blue
2019-04-16	| 07:46PM	| 5552  		| 9 		| 43457  		| 25 		| 700     		| blue 		| red
2019-04-16	| 08:18PM	| 29898  		| 22 		| 17881  		| 18 		| 2000     		| red 		| blue
2019-04-16	| 09:34PM	| 63088  		| 27 		| 18917  		| 14 		| 5000     		| red 		| red
2019-04-16	| 09:46PM	| 18460  		| 12 		| 23087  		| 17 		| 845     		| blue 		| red
2019-04-16	| 10:21PM	| 19449  		| 19 		| 17898  		| 13 		| 852     		| red 		| red
2019-04-16	| 10:51PM	| 13342  		| 14 		| 35978  		| 17 		| 700     		| blue 		| blue
2019-04-16	| 11:50PM	| 3682  		| 7 		| 140647  		| 15 		| 100000     	| red 		| red
2019-04-17	| 12:04AM	| 23543  		| 15 		| 32573  		| 20 		| 1127     		| red 		| red
2019-04-17	| 01:20AM	| 14014  		| 17 		| 19897  		| 18 		| 700     		| blue 		| blue
2019-04-17	| 01:41AM	| 108056  		| 29 		| 14333  		| 19 		| 700     		| red 		| blue
2019-04-17	| 10:11AM	| 23720  		| 15 		| 5688  		| 6 		| 700     		| red 		| red
